N,Pos,Orienta,Cámara,Contacto,Regla,Acción,Pos after,Orie after
0,"(1, 12)",S,Piso Oscuro,No pared,0,Avanzar,"(2, 12)",S
1,"(2, 12)",S,Piso Oscuro,No pared,0,Rotar -90,"(2, 12)",E
2,"(2, 12)",E,Piso Oscuro,No pared,1,Avanzar,"(2, 13)",E
3,"(2, 13)",E,Piso Oscuro,No pared,1,Avanzar,"(2, 14)",E
4,"(2, 14)",E,Piso Oscuro,No pared,1,Avanzar,"(2, 15)",E
5,"(2, 15)",E,Piso Oscuro,No pared,1,Avanzar,"(2, 16)",E
6,"(2, 16)",E,Piso Oscuro,No pared,2,Rotar +90,"(2, 16)",S
7,"(2, 16)",S,Piso Oscuro,No pared,0,Avanzar,"(3, 16)",S
8,"(3, 16)",S,Piso Oscuro,No pared,0,Rotar -90,"(3, 16)",E
9,"(3, 16)",E,Piso Oscuro,No pared,1,Avanzar,"(3, 17)",E
10,"(3, 17)",E,Piso Oscuro,No pared,1,Avanzar,"(3, 18)",E
11,"(3, 18)",E,Piso Oscuro,No pared,2,Rotar +90,"(3, 18)",S
12,"(3, 18)",S,Piso Oscuro,No pared,0,Avanzar,"(4, 18)",S
13,"(4, 18)",S,Piso Oscuro,No pared,0,Avanzar,"(5, 18)",S
14,"(5, 18)",S,Piso Oscuro,No pared,0,Rotar -90,"(5, 18)",E
15,"(5, 18)",E,Piso Oscuro,No pared,0,Avanzar,"(5, 19)",E
16,"(5, 19)",E,Piso Oscuro,No pared,1,Avanzar,"(5, 20)",E
17,"(5, 20)",E,Piso Oscuro,No pared,2,Rotar +90,"(5, 20)",S
18,"(5, 20)",S,Piso Oscuro,No pared,0,Avanzar,"(6, 20)",S
19,"(6, 20)",S,Piso Oscuro,No pared,0,Avanzar,"(7, 20)",S
20,"(7, 20)",S,Piso Oscuro,No pared,0,Rotar -90,"(7, 20)",E
21,"(7, 20)",E,Piso Oscuro,No pared,0,Avanzar,"(7, 21)",E
